,Date,share_close,Volume,nifty50_close,sentiment_score
0,2021-07-28,2037.3499755859373,5952355,15709.400390625,-0.0171875
1,2021-07-29,2053.25,6352886,15778.4501953125,-0.003377525252525248
2,2021-07-30,2035.300048828125,5238304,15763.0498046875,0.23214285714285715
3,2021-08-02,2072.5,5041934,15885.150390625,0.11197781385281387
4,2021-08-03,2087.75,5453682,16130.75,0.17828282828282824
5,2021-08-04,2103.75,6077861,16258.7998046875,0.16
6,2021-08-05,2134.25,9807831,16294.599609375,0.13522727272727272
7,2021-08-06,2089.050048828125,7670583,16238.2001953125,0.004166666666666673
8,2021-08-09,2077.14990234375,3458546,16258.25,0.1108270202020202
9,2021-08-10,2088.050048828125,5500708,16280.099609375,0.03289772727272727
10,2021-08-11,2117.300048828125,4238859,16282.25,0.06034722222222222
11,2021-08-12,2110.5,3755507,16364.400390625,0.10909090909090907
12,2021-08-13,2145.64990234375,5898384,16529.099609375,-0.175
13,2021-08-16,2173.5,10123204,16563.05078125,0.08319886363636364
14,2021-08-17,2164.25,5841743,16614.599609375,0.08
15,2021-08-18,2172.64990234375,4650008,16568.849609375,0.19269931457431458
16,2021-08-20,2148.25,4350228,16450.5,0.13143939393939394
17,2021-08-23,2162.35009765625,4547802,16496.44921875,0.11538825757575757
18,2021-08-24,2183.699951171875,5475452,16624.599609375,0.10723905723905723
19,2021-08-25,2202.60009765625,6175126,16634.650390625,0.11203896103896106
20,2021-08-26,2230.449951171875,8579105,16636.900390625,0.014945887445887429
21,2021-08-27,2227.39990234375,4836812,16705.19921875,0.30625
22,2021-08-30,2270.25,6473487,16931.05078125,-0.10340909090909092
23,2021-08-31,2258.14990234375,12223037,17132.19921875,0.20624458874458873
24,2021-09-01,2267.10009765625,5143640,17076.25,0.03
25,2021-09-02,2294.39990234375,4595048,17234.150390625,-0.14444444444444443
26,2021-09-03,2388.5,14151629,17323.599609375,0.027582972582972588
27,2021-09-06,2425.60009765625,15525644,17377.80078125,0.048657811885084605
28,2021-09-07,2440.89990234375,8006968,17362.099609375,0.306
29,2021-09-08,2431.35009765625,6600210,17353.5,-0.07285714285714286
30,2021-09-09,2425.60009765625,4136538,17369.25,0.08470238095238095
